timestamp,type,note,velocity
2026-04-10 18:46:32.529,note_on,62,127
2026-04-10 18:46:32.606,note_off,60,0
2026-04-10 18:46:33.022,note_on,55,55
2026-04-10 18:46:33.037,note_off,62,0
2026-04-10 18:46:33.099,note_off,55,0
2026-04-10 18:46:33.500,note_on,55,100
2026-04-10 18:46:33.730,note_off,55,0
2026-04-10 18:46:33.992,note_on,64,76
2026-04-10 18:46:34.487,note_on,60,100
2026-04-10 18:46:34.518,note_off,64,0
2026-04-10 18:46:34.749,note_on,62,100
2026-04-10 18:46:34.810,note_off,60,0
2026-04-10 18:46:35.010,note_on,64,76
2026-04-10 18:46:35.041,note_off,62,0
2026-04-10 18:46:35.382,note_on,66,100
2026-04-10 18:46:35.459,note_off,64,0
2026-04-10 18:46:35.860,note_on,67,127
2026-04-10 18:46:35.937,note_off,66,0
2026-04-10 18:46:36.522,note_on,55,127
2026-04-10 18:46:36.583,note_off,67,0
2026-04-10 18:46:36.614,note_off,55,0
2026-04-10 18:46:37.123,note_on,55,100
2026-04-10 18:46:37.524,note_off,55,0
2026-04-10 18:46:37.909,note_on,60,76
2026-04-10 18:46:38.248,note_off,60,0
2026-04-10 18:46:38.556,note_on,62,100
2026-04-10 18:46:38.988,note_on,60,55
2026-04-10 18:46:39.019,note_off,62,0
2026-04-10 18:46:39.297,note_on,59,100
2026-04-10 18:46:39.297,note_off,60,0
2026-04-10 18:46:39.682,note_on,57,100
2026-04-10 18:46:39.728,note_off,59,0
2026-04-10 18:46:40.714,note_off,57,0
2026-04-10 18:46:41.914,note_on,59,76
2026-04-10 18:46:42.405,note_off,59,0
2026-04-10 18:46:42.745,note_on,60,64
2026-04-10 18:46:43.038,note_on,59,100
2026-04-10 18:46:43.100,note_off,60,0
2026-04-10 18:46:43.392,note_on,57,100
2026-04-10 18:46:43.423,note_off,59,0
2026-04-10 18:46:43.825,note_on,55,76
2026-04-10 18:46:43.825,note_off,57,0
2026-04-10 18:46:44.565,note_on,57,100
2026-04-10 18:46:44.595,note_off,55,0
2026-04-10 18:46:45.133,note_off,57,0
2026-04-10 18:46:45.517,note_on,59,100
2026-04-10 18:46:45.947,note_on,57,55
2026-04-10 18:46:46.025,note_off,59,0
2026-04-10 18:46:46.394,note_on,55,100
2026-04-10 18:46:46.456,note_off,57,0
2026-04-10 18:46:46.888,note_on,54,64
2026-04-10 18:46:46.935,note_off,55,0
2026-04-10 18:46:47.411,note_on,55,40
2026-04-10 18:46:47.442,note_off,54,0
2026-04-10 18:46:48.645,note_off,55,0
2026-04-10 18:47:58.431,note_on,88,35
2026-04-10 18:47:58.524,note_off,88,0
2026-04-10 18:47:58.601,note_on,88,100
2026-04-10 18:47:58.724,note_off,88,0
2026-04-10 18:50:41.049,note_on,72,55
2026-04-10 18:50:41.142,note_off,72,0
2026-04-10 18:50:41.326,note_on,74,76
2026-04-10 18:50:41.403,note_off,74,0
2026-04-10 18:50:41.604,note_on,76,100
2026-04-10 18:50:41.898,note_off,76,0
2026-04-10 18:50:43.239,note_on,72,64
2026-04-10 18:50:43.331,note_off,72,0
2026-04-10 18:50:43.470,note_on,74,100
2026-04-10 18:50:43.546,note_off,74,0
2026-04-10 18:50:43.731,note_on,76,76
2026-04-10 18:50:43.807,note_off,76,0
2026-04-10 18:50:43.992,note_on,77,76
2026-04-10 18:50:44.315,note_off,77,0
2026-04-10 18:50:44.516,note_on,77,100
2026-04-10 18:50:44.624,note_off,77,0
2026-04-10 18:50:44.762,note_on,77,100
2026-04-10 18:50:44.992,note_off,77,0
2026-04-10 18:50:45.302,note_on,72,64
2026-04-10 18:50:45.487,note_off,72,0
2026-04-10 18:50:45.549,note_on,74,40
2026-04-10 18:50:45.810,note_off,74,0
2026-04-10 18:50:45.811,note_on,72,76
2026-04-10 18:50:46.040,note_on,74,100
2026-04-10 18:50:46.071,note_off,72,0
2026-04-10 18:50:46.303,note_off,74,0
2026-04-10 18:50:46.549,note_on,74,100
2026-04-10 18:50:46.671,note_off,74,0
2026-04-10 18:50:46.794,note_on,74,100
2026-04-10 18:50:46.963,note_off,74,0
2026-04-10 18:50:47.147,note_on,72,76
2026-04-10 18:50:47.269,note_off,72,0
2026-04-10 18:50:47.484,note_on,83,127
2026-04-10 18:50:47.638,note_off,83,0
2026-04-10 18:50:47.653,note_on,81,100
2026-04-10 18:50:47.823,note_off,81,0
2026-04-10 18:50:47.977,note_on,79,35
2026-04-10 18:50:48.193,note_off,79,0
2026-04-10 18:50:48.780,note_on,79,55
2026-04-10 18:50:48.934,note_off,79,0
2026-04-10 18:50:49.026,note_on,79,100
2026-04-10 18:50:49.258,note_off,79,0
2026-04-10 18:50:49.535,note_on,72,100
2026-04-10 18:50:49.673,note_off,72,0
2026-04-10 18:50:49.781,note_on,74,100
2026-04-10 18:50:49.889,note_off,74,0
2026-04-10 18:50:50.043,note_on,76,76
2026-04-10 18:50:50.183,note_off,76,0
2026-04-10 18:50:50.337,note_on,77,127
2026-04-10 18:50:50.677,note_off,77,0
2026-04-10 18:50:50.831,note_on,77,127
2026-04-10 18:50:50.954,note_off,77,0
2026-04-10 18:50:51.062,note_on,77,127
2026-04-10 18:50:51.185,note_off,77,0
2026-04-10 18:51:09.738,note_on,59,17
2026-04-10 18:51:09.768,note_on,62,40
2026-04-10 18:51:09.830,note_on,55,35
2026-04-10 18:51:10.246,note_off,55,0
2026-04-10 18:51:10.262,note_off,62,0
2026-04-10 18:51:10.262,note_off,59,0
2026-04-10 18:52:30.427,note_on,91,30
2026-04-10 18:52:30.951,note_off,91,0
2026-04-10 18:52:31.136,note_on,89,76
2026-04-10 18:52:31.337,note_off,89,0
2026-04-10 18:52:31.507,note_on,88,76
2026-04-10 18:52:31.614,note_off,88,0
2026-04-10 18:52:31.752,note_on,86,100
2026-04-10 18:52:31.860,note_off,86,0
2026-04-10 18:52:31.998,note_on,84,100
2026-04-10 18:52:32.106,note_off,84,0
2026-04-10 18:52:32.245,note_on,83,76
2026-04-10 18:52:32.323,note_off,83,0
2026-04-10 18:52:32.462,note_on,81,76
2026-04-10 18:52:32.585,note_off,81,0
2026-04-10 18:52:32.940,note_on,77,127
2026-04-10 18:52:32.940,note_on,79,100
2026-04-10 18:52:33.001,note_off,79,0
2026-04-10 18:52:33.016,note_off,77,0
2026-04-10 18:52:34.277,note_on,50,64
2026-04-10 18:52:34.308,note_on,29,30
2026-04-10 18:52:34.308,note_on,38,100
2026-04-10 18:52:34.308,note_on,35,76
2026-04-10 18:52:34.737,note_off,38,0
2026-04-10 18:52:34.798,note_off,35,0
2026-04-10 18:52:34.814,note_off,29,0
2026-04-10 18:52:34.829,note_off,50,0
2026-04-10 18:52:36.244,note_on,50,40
2026-04-10 18:52:36.244,note_on,31,40
2026-04-10 18:52:36.260,note_on,35,40
2026-04-10 18:52:36.260,note_on,38,55
2026-04-10 18:52:36.876,note_off,38,0
2026-04-10 18:52:36.891,note_off,50,0
2026-04-10 18:52:36.892,note_off,35,0
2026-04-10 18:52:36.907,note_off,31,0
2026-04-10 18:52:37.398,note_on,50,35
2026-04-10 18:52:37.399,note_on,31,40
2026-04-10 18:52:37.399,note_on,35,55
2026-04-10 18:52:37.414,note_on,38,55
2026-04-10 18:52:37.953,note_off,50,0
2026-04-10 18:52:38.015,note_off,38,0
2026-04-10 18:52:38.030,note_off,31,0
2026-04-10 18:52:38.033,note_off,35,0
2026-04-10 18:52:38.046,note_on,43,100
2026-04-10 18:52:38.323,note_on,45,76
2026-04-10 18:52:38.354,note_off,43,0
2026-04-10 18:52:38.616,note_on,47,64
2026-04-10 18:52:38.616,note_off,45,0
2026-04-10 18:52:38.877,note_on,48,55
2026-04-10 18:52:38.908,note_off,47,0
2026-04-10 18:52:39.108,note_on,50,100
2026-04-10 18:52:39.138,note_off,48,0
2026-04-10 18:52:39.508,note_on,43,100
2026-04-10 18:52:39.508,note_off,50,0
2026-04-10 18:52:39.585,note_off,43,0
2026-04-10 18:52:39.739,note_on,43,100
2026-04-10 18:52:39.815,note_off,43,0
